areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E12000002,North West,region,2021-02-02,534448
E12000002,North West,region,2021-02-01,531671
E12000002,North West,region,2021-01-31,528674
E12000002,North West,region,2021-01-30,526498
E12000002,North West,region,2021-01-29,524297
E12000002,North West,region,2021-01-28,521406
E12000002,North West,region,2021-01-27,518325
E12000002,North West,region,2021-01-26,515028
E12000002,North West,region,2021-01-25,511576
E12000002,North West,region,2021-01-24,507669
E12000002,North West,region,2021-01-23,504990
E12000002,North West,region,2021-01-22,502313
E12000002,North West,region,2021-01-21,498642
E12000002,North West,region,2021-01-20,494802
E12000002,North West,region,2021-01-19,490437
E12000002,North West,region,2021-01-18,485323
E12000002,North West,region,2021-01-17,479860
E12000002,North West,region,2021-01-16,476095
E12000002,North West,region,2021-01-15,472165
E12000002,North West,region,2021-01-14,467535
E12000002,North West,region,2021-01-13,462383
E12000002,North West,region,2021-01-12,457002
E12000002,North West,region,2021-01-11,450651
E12000002,North West,region,2021-01-10,443226
E12000002,North West,region,2021-01-09,438037
E12000002,North West,region,2021-01-08,433105
E12000002,North West,region,2021-01-07,427484
E12000002,North West,region,2021-01-06,421341
E12000002,North West,region,2021-01-05,414743
E12000002,North West,region,2021-01-04,407003
E12000002,North West,region,2021-01-03,398797
E12000002,North West,region,2021-01-02,392257
E12000002,North West,region,2021-01-01,385360
E12000002,North West,region,2020-12-31,382497
E12000002,North West,region,2020-12-30,377286
E12000002,North West,region,2020-12-29,370866
E12000002,North West,region,2020-12-28,364238
E12000002,North West,region,2020-12-27,360644
E12000002,North West,region,2020-12-26,357129
E12000002,North West,region,2020-12-25,354474
E12000002,North West,region,2020-12-24,353562
E12000002,North West,region,2020-12-23,351272
E12000002,North West,region,2020-12-22,348417
E12000002,North West,region,2020-12-21,345613
E12000002,North West,region,2020-12-20,342555
E12000002,North West,region,2020-12-19,340608
E12000002,North West,region,2020-12-18,338945
E12000002,North West,region,2020-12-17,336846
E12000002,North West,region,2020-12-16,334899
E12000002,North West,region,2020-12-15,332873
E12000002,North West,region,2020-12-14,330751
E12000002,North West,region,2020-12-13,328518
E12000002,North West,region,2020-12-12,327194
E12000002,North West,region,2020-12-11,325938
E12000002,North West,region,2020-12-10,324308
E12000002,North West,region,2020-12-09,322667
E12000002,North West,region,2020-12-08,321074
E12000002,North West,region,2020-12-07,319504
E12000002,North West,region,2020-12-06,317667
E12000002,North West,region,2020-12-05,316532
E12000002,North West,region,2020-12-04,315523
E12000002,North West,region,2020-12-03,314080
E12000002,North West,region,2020-12-02,312727
E12000002,North West,region,2020-12-01,311277
