ltla_name,ltla_code,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Havering,E09000016,2020-12-08,2021-03-07,1st dose,Under 60,29494,146333,0.2015539898724143
Hillingdon,E09000017,2020-12-08,2021-03-07,1st dose,Under 60,45567,183977,0.24767769884279014
Hounslow,E09000018,2020-12-08,2021-03-07,1st dose,Under 60,38014,166028,0.22896138000819138
Islington,E09000019,2020-12-08,2021-03-07,1st dose,Under 60,21853,174110,0.12551260697260352
Kensington and Chelsea,E09000020,2020-12-08,2021-03-07,1st dose,Under 60,14314,96702,0.14802175756447644
Kingston upon Thames,E09000021,2020-12-08,2021-03-07,1st dose,Under 60,21597,108703,0.1986789693016752
Lambeth,E09000022,2020-12-08,2021-03-07,1st dose,Under 60,41348,230227,0.17959665894964535
Lewisham,E09000023,2020-12-08,2021-03-07,1st dose,Under 60,34943,201704,0.17323900368857337
Merton,E09000024,2020-12-08,2021-03-07,1st dose,Under 60,28791,127338,0.2260990434905527
Newham,E09000025,2020-12-08,2021-03-07,1st dose,Under 60,38109,235205,0.16202461682362196
Redbridge,E09000026,2020-12-08,2021-03-07,1st dose,Under 60,38846,183958,0.2111677665554094
Richmond upon Thames,E09000027,2020-12-08,2021-03-07,1st dose,Under 60,20787,114890,0.18092958482026286
Southwark,E09000028,2020-12-08,2021-03-07,1st dose,Under 60,34385,219401,0.15672216626177637
Sutton,E09000029,2020-12-08,2021-03-07,1st dose,Under 60,27207,120706,0.22539890311997746
Tower Hamlets,E09000030,2020-12-08,2021-03-07,1st dose,Under 60,29518,228961,0.1289215193853975
Waltham Forest,E09000031,2020-12-08,2021-03-07,1st dose,Under 60,32576,174714,0.18645328937577985
Wandsworth,E09000032,2020-12-08,2021-03-07,1st dose,Under 60,40660,227131,0.1790156341494556
Westminster,E09000033,2020-12-08,2021-03-07,1st dose,Under 60,23767,173296,0.13714684701320284
Barking and Dagenham,E09000002,2020-12-08,2021-03-14,1st dose,55-59,5649,10535,0.5362126245847176
Barnet,E09000003,2020-12-08,2021-03-14,1st dose,55-59,16099,22509,0.71522502110267006
Bexley,E09000004,2020-12-08,2021-03-14,1st dose,55-59,10074,16171,0.6229670397625379
Brent,E09000005,2020-12-08,2021-03-14,1st dose,55-59,11862,19243,0.6164319492802578
Bromley,E09000006,2020-12-08,2021-03-14,1st dose,55-59,12269,21769,0.5635996141301851
Camden,E09000007,2020-12-08,2021-03-14,1st dose,55-59,6785,13034,0.5205616081018873
Croydon,E09000008,2020-12-08,2021-03-14,1st dose,55-59,12567,25680,0.4893691588785047
Ealing,E09000009,2020-12-08,2021-03-14,1st dose,55-59,13288,19705,0.6743466125348896
Enfield,E09000010,2020-12-08,2021-03-14,1st dose,55-59,15656,20350,0.7693366093366093
Greenwich,E09000011,2020-12-08,2021-03-14,1st dose,55-59,9091,15300,0.5941830065359477
Hackney and City of London,E09000012,2020-12-08,2021-03-14,1st dose,55-59,6288,12981,0.4844002773284031
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-14,1st dose,55-59,5790,9923,0.5834928952937619
Haringey,E09000014,2020-12-08,2021-03-14,1st dose,55-59,10068,14900,0.6757046979865772
Harrow,E09000015,2020-12-08,2021-03-14,1st dose,55-59,11087,15458,0.7172337947988097
Havering,E09000016,2020-12-08,2021-03-14,1st dose,55-59,7489,16577,0.4517705254267962
Hillingdon,E09000017,2020-12-08,2021-03-14,1st dose,55-59,13671,17763,0.7696335078534031
Hounslow,E09000018,2020-12-08,2021-03-14,1st dose,55-59,9946,15062,0.6603372726065595
Islington,E09000019,2020-12-08,2021-03-14,1st dose,55-59,5441,11189,0.486281169005273
Kensington and Chelsea,E09000020,2020-12-08,2021-03-14,1st dose,55-59,5578,9904,0.5632067851373183
Kingston upon Thames,E09000021,2020-12-08,2021-03-14,1st dose,55-59,6007,9929,0.6049954678215329
Lambeth,E09000022,2020-12-08,2021-03-14,1st dose,55-59,10192,17000,0.5995294117647059
Lewisham,E09000023,2020-12-08,2021-03-14,1st dose,55-59,9641,17200,0.5605232558139535
Merton,E09000024,2020-12-08,2021-03-14,1st dose,55-59,8004,11960,0.6692307692307692
Newham,E09000025,2020-12-08,2021-03-14,1st dose,55-59,7991,16142,0.49504398463635235
Redbridge,E09000026,2020-12-08,2021-03-14,1st dose,55-59,9055,16860,0.5370699881376038
Richmond upon Thames,E09000027,2020-12-08,2021-03-14,1st dose,55-59,6754,12899,0.5236064811225677
Southwark,E09000028,2020-12-08,2021-03-14,1st dose,55-59,9259,17494,0.5292671773179376
